id,game_id,season_id,competition,team_id,opponent_team_id,is_home,points,points_attempted,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pct,two_made,two_attempted,two_pct,ft_made,ft_attempted,ft_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,fouls_committed,fouls_received,turnovers,dunks,plus_minus,efficiency,collective_offensive_rebounds,collective_defensive_rebounds,collective_total_rebounds,source_url,parse_model
27,14,1,NBB,15,14,1,88,170,29,59,49.2,7,25,28,22,34,65,23,27,85,26,9,35,11,4,3,24,0,15,3,0,92,,,,https://lnb.com.br/noticias/sao-jose-x-saldanha-01052009/,classic
28,14,1,NBB,14,15,0,77,180,26,65,40,10,29,34,16,36,44,15,21,71,17,7,24,21,9,0,21,0,18,2,0,68,,,,https://lnb.com.br/noticias/sao-jose-x-saldanha-01052009/,classic
29,16,1,NBB,11,4,1,90,185,26,61,42.6,7,25,28,19,36,53,31,38,82,15,11,26,14,4,2,27,0,13,1,0,81,,,,https://lnb.com.br/noticias/minas-x-brasilia-02062009/,classic
30,16,1,NBB,4,11,0,101,175,30,56,53.6,5,17,29,25,39,64,36,46,78,23,9,32,16,8,3,29,0,15,1,0,109,,,,https://lnb.com.br/noticias/minas-x-brasilia-02062009/,classic
31,15,1,NBB,12,7,1,70,158,23,56,41.1,5,20,25,18,36,50,19,26,73,17,11,28,7,5,4,18,0,13,0,0,61,,,,https://lnb.com.br/noticias/paulistano-x-franca-01052009/,classic
32,15,1,NBB,7,12,0,85,167,32,64,50,6,20,30,26,44,59,15,19,79,26,8,34,19,6,2,28,0,18,1,0,92,,,,https://lnb.com.br/noticias/paulistano-x-franca-01052009/,classic
33,17,1,NBB,13,12,1,82,170,27,61,44.3,11,24,46,16,37,43,17,24,71,29,12,41,16,5,2,15,0,13,3,0,92,,,,https://lnb.com.br/noticias/pinheiros-x-paulistano-03022009/,classic
34,17,1,NBB,12,13,0,65,181,26,69,37.7,6,30,20,20,39,51,7,13,54,19,10,29,22,5,7,23,0,9,1,0,70,,,,https://lnb.com.br/noticias/pinheiros-x-paulistano-03022009/,classic
35,18,1,NBB,15,10,1,83,163,33,63,52.4,9,26,35,24,37,65,8,11,73,18,5,23,16,10,1,26,0,18,0,0,82,,,,https://lnb.com.br/noticias/sao-jose-x-limeira-03022009/,classic
36,18,1,NBB,10,15,0,73,145,23,51,45.1,9,21,43,14,30,47,18,22,82,20,7,27,12,7,0,19,0,34,3,0,53,,,,https://lnb.com.br/noticias/sao-jose-x-limeira-03022009/,classic
