id,team_id,season_id,alias,alias_type,source,is_primary
340,13,6,Pinheiros,season_display_name,standings,1
341,13,6,MAIS SOBRE O CLUBE,link_text,standings,0
342,15,6,SJO,abbreviation,standings,0
343,15,6,São José,season_display_name,standings,1
344,15,6,Mr. Moo São José Basketball,logo_alt,standings,0
345,15,6,MAIS SOBRE O CLUBE,link_text,standings,0
346,15,6,Sao Jose,slug_name,standings,0
347,17,6,UBE,abbreviation,standings,0
348,17,6,Uberlândia,season_display_name,standings,1
349,17,6,MAIS SOBRE O CLUBE,link_text,standings,0
350,21,7,FOR,abbreviation,standings,0
351,21,7,Basq. Cearense,season_display_name,standings,1
352,21,7,Fortaleza Basquete Cearense,logo_alt,standings,0
353,21,7,MAIS SOBRE O CLUBE,link_text,standings,0
354,21,7,Basq Cearense,slug_name,standings,0
355,3,7,BAU,abbreviation,standings,0
356,3,7,Bauru,season_display_name,standings,1
357,3,7,Bauru Basket,logo_alt,standings,0
358,3,7,MAIS SOBRE O CLUBE,link_text,standings,0
359,4,7,BRA,abbreviation,standings,0
360,4,7,Brasília,season_display_name,standings,1
361,4,7,MAIS SOBRE O CLUBE,link_text,standings,0
362,4,7,Brasilia,slug_name,standings,0
363,6,7,FLA,abbreviation,standings,0
364,6,7,Flamengo,season_display_name,standings,1
365,6,7,MAIS SOBRE O CLUBE,link_text,standings,0
366,7,7,FRA,abbreviation,standings,0
367,7,7,Franca,season_display_name,standings,1
368,7,7,Sesi Franca,logo_alt,standings,0
369,7,7,MAIS SOBRE O CLUBE,link_text,standings,0
370,19,7,LSB,abbreviation,standings,0
371,19,7,L. Sorocabana,season_display_name,standings,1
372,19,7,MAIS SOBRE O CLUBE,link_text,standings,0
373,19,7,L Sorocabana,slug_name,standings,0
374,10,7,LIM,abbreviation,standings,0
375,10,7,Limeira,season_display_name,standings,1
376,10,7,MAIS SOBRE O CLUBE,link_text,standings,0
377,10,7,Limeira 2,slug_name,standings,0
378,26,7,MAC,abbreviation,standings,0
379,26,7,Macaé,season_display_name,standings,1
380,26,7,Macaé Basquete,logo_alt,standings,0
381,26,7,MAIS SOBRE O CLUBE,link_text,standings,0
382,26,7,Macae,slug_name,standings,0
383,11,7,MIN,abbreviation,standings,0
384,11,7,Minas,season_display_name,standings,1
385,11,7,KTO Minas,logo_alt,standings,0
386,11,7,MAIS SOBRE O CLUBE,link_text,standings,0
387,22,7,MOG,abbreviation,standings,0
388,22,7,Mogi,season_display_name,standings,1
389,22,7,Mogi Basquete,logo_alt,standings,0
390,22,7,MAIS SOBRE O CLUBE,link_text,standings,0
391,23,7,PAL,abbreviation,standings,0
392,23,7,Palmeiras,season_display_name,standings,1
393,23,7,MAIS SOBRE O CLUBE,link_text,standings,0
394,23,7,Palmeiras 2,slug_name,standings,0
395,12,7,CAP,abbreviation,standings,0
396,12,7,Paulistano,season_display_name,standings,1
397,12,7,MAIS SOBRE O CLUBE,link_text,standings,0
398,13,7,PIN,abbreviation,standings,0
399,13,7,Pinheiros,season_display_name,standings,1
400,13,7,MAIS SOBRE O CLUBE,link_text,standings,0
401,27,7,RCB,abbreviation,standings,0
402,27,7,Rio Claro,season_display_name,standings,1
403,27,7,Conta Simples Rio Claro,logo_alt,standings,0
404,27,7,MAIS SOBRE O CLUBE,link_text,standings,0
405,15,7,SJO,abbreviation,standings,0
406,15,7,São José,season_display_name,standings,1
407,15,7,Mr. Moo São José Basketball,logo_alt,standings,0
408,15,7,MAIS SOBRE O CLUBE,link_text,standings,0
409,15,7,Sao Jose,slug_name,standings,0
410,17,7,UBE,abbreviation,standings,0
411,17,7,Uberlândia,season_display_name,standings,1
412,17,7,MAIS SOBRE O CLUBE,link_text,standings,0
413,21,8,FOR,abbreviation,standings,0
414,21,8,Basq. Cearense,season_display_name,standings,1
415,21,8,Fortaleza Basquete Cearense,logo_alt,standings,0
416,21,8,MAIS SOBRE O CLUBE,link_text,standings,0
417,21,8,Basq Cearense,slug_name,standings,0
418,3,8,BAU,abbreviation,standings,0
419,3,8,Bauru,season_display_name,standings,1
420,3,8,Bauru Basket,logo_alt,standings,0
421,3,8,MAIS SOBRE O CLUBE,link_text,standings,0
422,4,8,BRA,abbreviation,standings,0
423,4,8,Brasília,season_display_name,standings,1
424,4,8,MAIS SOBRE O CLUBE,link_text,standings,0
425,4,8,Brasilia,slug_name,standings,0
426,28,8,CAX,abbreviation,standings,0
427,28,8,Caxias do Sul,season_display_name,standings,1
428,28,8,Caxias do Sul Basquete,logo_alt,standings,0
429,28,8,MAIS SOBRE O CLUBE,link_text,standings,0
430,6,8,FLA,abbreviation,standings,0
431,6,8,Flamengo,season_display_name,standings,1
432,6,8,MAIS SOBRE O CLUBE,link_text,standings,0
433,7,8,FRA,abbreviation,standings,0
434,7,8,Franca,season_display_name,standings,1
435,7,8,Sesi Franca,logo_alt,standings,0
436,7,8,MAIS SOBRE O CLUBE,link_text,standings,0
437,19,8,LSB,abbreviation,standings,0
438,19,8,L. Sorocabana,season_display_name,standings,1
439,19,8,MAIS SOBRE O CLUBE,link_text,standings,0
440,19,8,L Sorocabana,slug_name,standings,0
441,26,8,MAC,abbreviation,standings,0
442,26,8,Macaé,season_display_name,standings,1
443,26,8,Macaé Basquete,logo_alt,standings,0
444,26,8,MAIS SOBRE O CLUBE,link_text,standings,0
445,26,8,Macae,slug_name,standings,0
446,11,8,MIN,abbreviation,standings,0
447,11,8,Minas,season_display_name,standings,1
448,11,8,KTO Minas,logo_alt,standings,0
449,11,8,MAIS SOBRE O CLUBE,link_text,standings,0
450,22,8,MOG,abbreviation,standings,0
451,22,8,Mogi,season_display_name,standings,1
452,22,8,Mogi Basquete,logo_alt,standings,0
453,22,8,MAIS SOBRE O CLUBE,link_text,standings,0
454,12,8,CAP,abbreviation,standings,0
455,12,8,Paulistano,season_display_name,standings,1
456,12,8,MAIS SOBRE O CLUBE,link_text,standings,0
457,13,8,PIN,abbreviation,standings,0
458,13,8,Pinheiros,season_display_name,standings,1
459,13,8,MAIS SOBRE O CLUBE,link_text,standings,0
460,27,8,RCB,abbreviation,standings,0
461,27,8,Rio Claro,season_display_name,standings,1
462,27,8,Conta Simples Rio Claro,logo_alt,standings,0
463,27,8,MAIS SOBRE O CLUBE,link_text,standings,0
464,15,8,SJO,abbreviation,standings,0
465,15,8,São José,season_display_name,standings,1
466,15,8,Mr. Moo São José Basketball,logo_alt,standings,0
467,15,8,MAIS SOBRE O CLUBE,link_text,standings,0
468,15,8,Sao Jose,slug_name,standings,0
469,29,8,VIT,abbreviation,standings,0
470,29,8,Vitória,season_display_name,standings,1
471,29,8,MAIS SOBRE O CLUBE,link_text,standings,0
472,21,9,FOR,abbreviation,standings,0
473,21,9,Basq. Cearense,season_display_name,standings,1
474,21,9,Fortaleza Basquete Cearense,logo_alt,standings,0
475,21,9,MAIS SOBRE O CLUBE,link_text,standings,0
476,21,9,Basq Cearense,slug_name,standings,0
477,3,9,BAU,abbreviation,standings,0
478,3,9,Bauru,season_display_name,standings,1
479,3,9,Bauru Basket,logo_alt,standings,0
480,3,9,MAIS SOBRE O CLUBE,link_text,standings,0
481,4,9,BRA,abbreviation,standings,0
482,4,9,Brasília,season_display_name,standings,1
483,4,9,MAIS SOBRE O CLUBE,link_text,standings,0
484,4,9,Brasilia,slug_name,standings,0
485,30,9,CMO,abbreviation,standings,0
486,30,9,Campo Mourão,season_display_name,standings,1
487,30,9,VipTech CMB,logo_alt,standings,0
488,30,9,MAIS SOBRE O CLUBE,link_text,standings,0
489,30,9,Campo Mourao,slug_name,standings,0
490,28,9,CAX,abbreviation,standings,0
491,28,9,Caxias do Sul,season_display_name,standings,1
492,28,9,Caxias do Sul Basquete,logo_alt,standings,0
493,28,9,MAIS SOBRE O CLUBE,link_text,standings,0
494,6,9,FLA,abbreviation,standings,0
495,6,9,Flamengo,season_display_name,standings,1
496,6,9,MAIS SOBRE O CLUBE,link_text,standings,0
497,7,9,FRA,abbreviation,standings,0
498,7,9,Franca,season_display_name,standings,1
499,7,9,Sesi Franca,logo_alt,standings,0
500,7,9,MAIS SOBRE O CLUBE,link_text,standings,0
501,19,9,LSB,abbreviation,standings,0
502,19,9,L. Sorocabana,season_display_name,standings,1
503,19,9,MAIS SOBRE O CLUBE,link_text,standings,0
504,19,9,L Sorocabana,slug_name,standings,0
